Rank,Player,,,
272,,0,1,539
,Rodrigo De Paul,,,
,,,,
,ARG,,,
,MF,,,
273,,0,1,546
,Timothy Castagne,,,
,,,,
,BEL,,,
,DF,,,
274,,0,1,546
,Mohamed Hany,,,
,,,,
,EGY,,,
,DF,,,
275,,0,1,567
,Ricardo Rodriguez,,,
,,,,
,SUI,,,
,DF,,,
276,,0,1,657
,Adrien Rabiot,,,
,,,,
,FRA,,,
,MF,,,
277,,0,1,713
,Elliot Anderson,,,
,,,,
,ENG,,,
,MF,,,
278,,0,1,740
,Dayot Upamecano,,,
,,,,
,FRA,,,
,DF,,,
279,,0,1,824
,Aymeric Laporte,,,
,,,,
,ESP,,,
,DF,,,
280,,0,0,0
,Aaron Tshibola,,,
,,,,
,COD,,,
,MF,,,
280,,0,0,0
,Achref Abada,,,
,,,,
,ALG,,,
,DF,,,
280,,0,0,0
,David Affengruber,,,
,,,,
,AUT,,,
,DF,,,
280,,0,0,0
,Aiman Yahya,,,
,,,,
,KSA,,,
,FW,,,
280,,0,0,0
,Mohamed Alaa,,,
,,,,
,EGY,,,
,GK,,,
280,,0,0,0
,Samet Akaydin,,,
,,,,
,TUR,,,
,DF,,,
280,,0,0,0
,Nawaf Alaqidi,,,
,,,,
,KSA,,,
,GK,,,
280,,0,0,0
,Abdallah Alfakhori,,,
,,,,
,JOR,,,
,GK,,,
280,,0,0,0
,Ziyad Aljohani,,,
,,,,
,KSA,,,
,MF,,,
280,,0,0,0
,Ahmed Alkassar,,,
,,,,
,KSA,,,
,GK,,,
280,,0,0,0
,Saleh Alshehri,,,
,,,,
,KSA,,,
,FW,,,
280,,0,0,0
,Nabil Donga,,,
,,,,
,EGY,,,
,MF,,,
280,,0,0,0
,Aurele Amenda,,,
,,,,
,SUI,,,
,DF,,,
280,,0,0,0
,Joseph Anang,,,
,,,,
,GHA,,,
,GK,,,
280,,0,0,0
,Ronald Araujo,,,
,,,,
,URU,,,
,DF,,,
280,,0,0,0
,Jeremy Arevalo,,,
,,,,
,ECU,,,
,FW,,,
280,,0,0,0
,Adam Arous,,,
,,,,
,TUN,,,
,DF,,,
280,,0,0,0
,Khalil Ayari,,,
,,,,
,TUN,,,
,MF,,,
280,,0,0,0
,Christopher Bonsu Baah,,,
,,,,
,GHA,,,
,FW,,,
280,,0,0,0
,Anas Badawi,,,
,,,,
,JOR,,,
,DF,,,
280,,0,0,0
,Bae Junho,,,
,,,,
,KOR,,,
,MF,,,
280,,0,0,0
,Nour Baniateyah,,,
,,,,
,JOR,,,
,GK,,,
280,,0,0,0
,Kosta Barbarouses,,,
,,,,
,NZL,,,
,FW,,,
280,,0,0,0
,Meshaal Barsham,,,
,,,,
,QAT,,,
,GK,,,
280,,0,0,0
,Dylan Batubinsika,,,
,,,,
,COD,,,
,DF,,,
280,,0,0,0
,Oliver Baumann,,,
,,,,
,GER,,,
,GK,,,
280,,0,0,0
,Altay Bayindir,,,
,,,,
,TUR,,,
,GK,,,
280,,0,0,0
,Lachlan Bayliss,,,
,,,,
,NZL,,,
,MF,,,
280,,0,0,0
,Youssef Belammari,,,
,,,,
,MAR,,,
,DF,,,
280,,0,0,0
,Sabri Ben Hessen,,,
,,,,
,TUN,,,
,GK,,,
280,,0,0,0
,Goncalo Inacio,,,
,,,,
,POR,,,
,DF,,,
280,,0,0,0
,Augustine Boakye,,,
,,,,
,GHA,,,
,MF,,,
280,,0,0,0
,Tyrick Bodak,,,
,,,,
,CUW,,,
,GK,,,
280,,0,0,0
,Chris Brady,,,
,,,,
,USA,,,
,GK,,,
280,,0,0,0
,Marcio Rosa,,,
,,,,
,CPV,,,
,GK,,,
280,,0,0,0
,Santiago Bueno,,,
,,,,
,URU,,,
,DF,,,
280,,0,0,0
,Duje Caleta Car,,,
,,,,
,CRO,,,
,DF,,,
280,,0,0,0
,Jorge Carrascal,,,
,,,,
,COL,,,
,MF,,,
280,,0,0,0
,Adalberto Carrasquilla,,,
,,,,
,PAN,,,
,MF,,,
280,,0,0,0
,Denil Castillo,,,
,,,,
,ECU,,,
,MF,,,
280,,0,0,0
,Sipho Chaine,,,
,,,,
,RSA,,,
,GK,,,
280,,0,0,0
,Roozbeh Cheshmi,,,
,,,,
,IRN,,,
,MF,,,
280,,0,0,0
,Raed Chikhaoui,,,
,,,,
,TUN,,,
,DF,,,
280,,0,0,0
,Cho Wije,,,
,,,,
,KOR,,,
,DF,,,
280,,0,0,0
,Logan Costa,,,
,,,,
,CPV,,,
,DF,,,
280,,0,0,0
,Bradley Cross,,,
,,,,
,RSA,,,
,DF,,,
280,,0,0,0
,Rui Silva,,,
,,,,
,POR,,,
,GK,,,
280,,0,0,0
,Dennis Dargahi,,,
,,,,
,IRN,,,
,FW,,,
280,,0,0,0
,Giorgian De Arrascaeta,,,
,,,,
,URU,,,
,MF,,,
280,,0,0,0
,Koni De Winter,,,
,,,,
,BEL,,,
,DF,,,
280,,0,0,0
,Zeno Debast,,,
,,,,
,BEL,,,
,DF,,,
280,,0,0,0
